"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","regulation","is_noncoding"
"127623",7.58653927676632,-1.63080614815359,0.3237425042992,-5.03735569626168,4.7200715864193e-07,1.48337238904422e-06,"OR2B11","Down",FALSE
"728591",13.2200223755897,1.3207291660829,0.262310705297006,5.03498004241756,4.77898620927794e-07,1.50113673781268e-06,"CCDC169","Up",FALSE
"388722",3.65475767922884,1.21066871583756,0.241052444736874,5.02242869662284,5.10221415681508e-07,1.59707859037746e-06,"C1orf53","Up",FALSE
"105375421",7.76943564625823,1.31696148651249,0.262398041197341,5.01894557026072,5.19558668392614e-07,1.62495679747942e-06,"LOC105375421","Up",TRUE
"84709",3.61519642475896,-1.39874581387102,0.278749822674971,-5.01792539434903,5.22324518343076e-07,1.63333623226439e-06,"MGARP","Down",FALSE
"57722",55.337977347924,1.19384369334708,0.238168266090294,5.01260605766207,5.3697760698683e-07,1.67748779196731e-06,"IGDCC4","Up",FALSE
"101927609",26.9678249187941,1.14529046877857,0.228607702946378,5.00985073563864,5.44722674057111e-07,1.70140102286261e-06,"LOC101927609","Up",TRUE
"7032",3.06443690074795,5.26572301252956,1.05142257629223,5.00818903004611,5.49445590144157e-07,1.71586842984724e-06,"TFF2","Up",FALSE
"2568",26.4627076381239,1.45155353514551,0.289840952243279,5.00810366482355,5.49689279207438e-07,1.71634514423614e-06,"GABRP","Up",FALSE
"89870",4.60187685884636,2.46670444885223,0.492966156258102,5.00380080364124,5.62108422210305e-07,1.75367037629172e-06,"TRIM15","Up",FALSE
"113730",17.9531512129464,1.03095877507641,0.206051810654283,5.00339585370675,5.63291038778323e-07,1.75677848702857e-06,"KLHDC7B","Up",FALSE
"100507055",10.3434221095082,-1.21314208604569,0.242720105814002,-4.99811122765138,5.78945892562173e-07,1.80262046448797e-06,"LRCOL1","Down",FALSE
"100996301",2.99028966611868,2.19638587339661,0.440038760473038,4.9913463782952,5.99598610978012e-07,1.86415445461221e-06,"FOXD3-AS1","Up",FALSE
